verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
ayaklan	4801	0.001	58.0	0.064	6.4e-05	0.012080816496563215	-9.656627474604603	-4.416136497984521	-5.24
besle	4767	0.001	1e-10	0.064	6.4e-05	2.0977554017201596e-14	-9.656627474604603	-31.495323385145284	21.839
böl	4705	0.001	3.0	0.064	6.4e-05	0.0006376195536663124	-9.656627474604603	-7.357768763351371	-2.299
uç	4567	0.001	1e-10	0.064	6.4e-05	2.189621195533173e-14	-9.656627474604603	-31.452462743125455	21.796
kapsa	4514	0.001	1e-10	0.064	6.4e-05	2.215330084182543e-14	-9.656627474604603	-31.440789887317937	21.784
karış	4506	0.001	2154.0	0.064	6.4e-05	0.4780292942743009	-9.656627474604603	-0.7380832632758559	-8.919
genişle	4346	0.001	2315.0	0.064	6.4e-05	0.5326737229636447	-9.656627474604603	-0.6298461942960406	-9.027
sırala	4294	0.001	1e-10	0.064	6.4e-05	2.328830926874709e-14	-9.656627474604603	-31.390824908379184	21.734
reddet	4219	0.001	1.0	0.064	6.4e-05	0.00023702299123014932	-9.656627474604603	-8.347353412124338	-1.309
götür	4172	0.001	2.0	0.064	6.4e-05	0.00047938638542665386	-9.656627474604603	-7.643003635560718	-2.014
boz	4109	0.001	47.0	0.064	6.4e-05	0.011438306157215868	-9.656627474604603	-4.470787367173351	-5.186
savaş	4037	0.001	10.0	0.064	6.4e-05	0.0024770869457517958	-9.656627474604603	-6.000672027858895	-3.656
yansı	4026	0.001	2463.0	0.064	6.4e-05	0.6117734724292101	-9.656627474604603	-0.49139320807919895	-9.165
paylaş	4025	0.001	224.0	0.064	6.4e-05	0.05565217391304348	-9.656627474604603	-2.8886341379976237	-6.768
bahset	3989	0.001	31.0	0.064	6.4e-05	0.007771371270995237	-9.656627474604603	-4.85730864742026	-4.799
uyarla	3944	0.001	1.0	0.064	6.4e-05	0.0002535496957403651	-9.656627474604603	-8.279950715722526	-1.377
anla	3911	0.001	1e-10	0.064	6.4e-05	2.5568908207619534e-14	-9.656627474604603	-31.297399304695972	21.641
engelle	3855	0.001	2.0	0.064	6.4e-05	0.0005188067444876783	-9.656627474604603	-7.563979105437484	-2.093
benze	3850	0.001	969.0	0.064	6.4e-05	0.2516883116883117	-9.656627474604603	-1.3795638153910637	-8.277
çarp	3843	0.001	838.0	0.064	6.4e-05	0.21805880822274265	-9.656627474604603	-1.5229904900827609	-8.134
ilgilen	3835	0.001	356.0	0.064	6.4e-05	0.09282920469361147	-9.656627474604603	-2.376993982949326	-7.28
aktar	3721	0.001	1.0	0.064	6.4e-05	0.0002687449610319806	-9.656627474604603	-8.221747728346623	-1.435
patla	3692	0.001	415.0	0.064	6.4e-05	0.11240520043336945	-9.656627474604603	-2.1856450753920447	-7.471
çevir	3687	0.001	26.0	0.064	6.4e-05	0.007051803634391104	-9.656627474604603	-4.954471860212663	-4.702
barın	3628	0.001	3233.0	0.064	6.4e-05	0.8911245865490628	-9.656627474604603	-0.1152710335095942	-9.541
edin	3609	0.001	20.0	0.064	6.4e-05	0.005541701302299806	-9.656627474604603	-5.195453731088797	-4.461
tutukla	3564	0.001	106.0	0.064	6.4e-05	0.02974186307519641	-9.656627474604603	-3.515199694478633	-6.141
çiz	3547	0.001	27.0	0.064	6.4e-05	0.007612066535100085	-9.656627474604603	-4.878020588769293	-4.779
yönel	3484	0.001	783.0	0.064	6.4e-05	0.22474167623421354	-9.656627474604603	-1.4928036419815904	-8.164
ye	3477	0.001	118.0	0.064	6.4e-05	0.03393730227207363	-9.656627474604603	-3.3832405075421965	-6.273
çöz	3471	0.001	11.0	0.064	6.4e-05	0.0031691155286660906	-9.656627474604603	-5.754302743063415	-3.902
dol	3406	0.001	2183.0	0.064	6.4e-05	0.6409277745155608	-9.656627474604603	-0.4448385046726896	-9.212
ak	3391	0.001	1e-10	0.064	6.4e-05	2.9489826010026544e-14	-9.656627474604603	-31.154731072066095	21.498
öner	3294	0.001	1e-10	0.064	6.4e-05	3.0358227079538554e-14	-9.656627474604603	-31.125708840678044	21.469
çevril	3264	0.001	1e-10	0.064	6.4e-05	3.063725490196079e-14	-9.656627474604603	-31.116559646024456	21.46
dağıl	3212	0.001	1e-10	0.064	6.4e-05	3.1133250311332505e-14	-9.656627474604603	-31.10050000500711	21.444
sakla	3158	0.001	2.0	0.064	6.4e-05	0.0006333122229259025	-9.656627474604603	-7.364547014255642	-2.292
duyur	3141	0.001	1.0	0.064	6.4e-05	0.0003183699458771092	-9.656627474604603	-8.052296499538647	-1.604
yaklaş	3130	0.001	202.0	0.064	6.4e-05	0.0645367412140575	-9.656627474604603	-2.740520586132994	-6.916
dağıt	3126	0.001	8.0	0.064	6.4e-05	0.0025591810620601407	-9.656627474604603	-5.968067969301586	-3.689
kalk	3103	0.001	1e-10	0.064	6.4e-05	3.222687721559781e-14	-9.656627474604603	-31.06597559438884	21.409
düşür	3077	0.001	5.0	0.064	6.4e-05	0.0016249593760155996	-9.656627474604603	-6.422272462887942	-3.234
yağ	3066	0.001	117.0	0.064	6.4e-05	0.03816046966731898	-9.656627474604603	-3.2659551246340035	-6.391
diren	3050	0.001	1e-10	0.064	6.4e-05	3.278688524590164e-14	-9.656627474604603	-31.048747799541914	21.392
uy	3037	0.001	630.0	0.064	6.4e-05	0.2074415541652947	-9.656627474604603	-1.5729056456601704	-8.084
uğraş	3031	0.001	54.0	0.064	6.4e-05	0.017815902342461234	-9.656627474604603	-4.027663830493529	-5.629
artır	3002	0.001	2.0	0.064	6.4e-05	0.0006662225183211193	-9.656627474604603	-7.313886831633462	-2.343
benimse	2911	0.001	60.0	0.064	6.4e-05	0.020611473720371008	-9.656627474604603	-3.8819073815235225	-5.775
